task,rank,model,source,score
zhoblimp,1,chinese-bert-wwm-ext,baseline,84.86
zhoblimp,2,xlm-roberta-base,baseline,84.00
zhoblimp,3,bert-base-chinese,baseline,83.26
zhoblimp,4,Qwen3-0.6B,baseline,77.62
zhoblimp,5,babylm-chinese-mamba-14M-epoch3,baseline,77.48
zhoblimp,6,babylm-chinese-mamba-14m-epoch10,baseline,75.88
zhoblimp,7,babylm-chinese-bert-14m-epoch20,baseline,75.82
zhoblimp,8,Zh-Pythia-1.4B-v0.1-checkpoint-3000,baseline,75.67
zhoblimp,9,babylm-chinese-bert-14m-epoch10,baseline,74.80
zhoblimp,10,babylm-chinese-mamba-14m-epoch20,baseline,74.23
zhoblimp,11,babylm-chinese-pythia-14m-epoch20,baseline,73.95
zhoblimp,12,babylm-chinese-pythia-14M-epoch10,baseline,73.49
zhoblimp,13,babylm-chinese-pythia-14M-epoch3,baseline,73.29
zhoblimp,14,Zh-Pythia-410M-v0.1-checkpoint-3000,baseline,71.65
zhoblimp,15,Zh-Pythia-160M-v0.1-checkpoint-3000,baseline,70.98
zhoblimp,16,gpu2,candidate,70.07
zhoblimp,17,gpu3,candidate,68.32
zhoblimp,18,Zh-Pythia-70M-v0.1-checkpoint-3000,baseline,65.88
zhoblimp,19,babylm-chinese-t5-14m-epoch20,baseline,63.58
zhoblimp,20,babylm-chinese-t5-14m-epoch10,baseline,61.11
zhoblimp,21,babylm-chinese-bert-14M-epoch3,baseline,59.19
zhoblimp,22,babylm-chinese-t5-14M-epoch3,baseline,57.40
zhoblimp,23,Zh-Pythia-14M-v0.1-checkpoint-3000,baseline,57.10
zhoblimp,24,roc-bert-base-zh,baseline,53.89
zhoblimp,25,ChineseBERT-base,baseline,51.69
hanzi_structure,1,Qwen3-0.6B,baseline,59.85
hanzi_structure,2,chinese-bert-wwm-ext,baseline,58.05
hanzi_structure,3,xlm-roberta-base,baseline,57.90
hanzi_structure,4,bert-base-chinese,baseline,57.25
hanzi_structure,5,roc-bert-base-zh,baseline,56.80
hanzi_structure,6,ChineseBERT-base,baseline,56.25
hanzi_structure,7,gpu3,candidate,55.25
hanzi_structure,8,gpu2,candidate,55.15
hanzi_structure,9,babylm-chinese-bert-14m-epoch20,baseline,54.45
hanzi_structure,10,babylm-chinese-bert-14M-epoch3,baseline,54.35
hanzi_structure,11,babylm-chinese-pythia-14M-epoch10,baseline,54.35
hanzi_structure,12,Zh-Pythia-1.4B-v0.1-checkpoint-3000,baseline,53.80
hanzi_structure,13,babylm-chinese-mamba-14m-epoch10,baseline,53.45
hanzi_structure,14,babylm-chinese-bert-14m-epoch10,baseline,53.30
hanzi_structure,15,babylm-chinese-mamba-14M-epoch3,baseline,53.20
hanzi_structure,16,babylm-chinese-t5-14m-epoch20,baseline,52.70
hanzi_structure,17,babylm-chinese-mamba-14m-epoch20,baseline,52.55
hanzi_structure,18,Zh-Pythia-160M-v0.1-checkpoint-3000,baseline,52.40
hanzi_structure,19,Zh-Pythia-70M-v0.1-checkpoint-3000,baseline,52.35
hanzi_structure,20,babylm-chinese-pythia-14m-epoch20,baseline,52.25
hanzi_structure,21,babylm-chinese-pythia-14M-epoch3,baseline,52.05
hanzi_structure,22,Zh-Pythia-14M-v0.1-checkpoint-3000,baseline,52.00
hanzi_structure,23,babylm-chinese-t5-14M-epoch3,baseline,51.70
hanzi_structure,24,Zh-Pythia-410M-v0.1-checkpoint-3000,baseline,51.20
hanzi_structure,25,babylm-chinese-t5-14m-epoch10,baseline,50.50
hanzi_pinyin,1,gpu3,candidate,96.45
hanzi_pinyin,2,gpu2,candidate,96.40
hanzi_pinyin,3,Qwen3-0.6B,baseline,49.80
hanzi_pinyin,4,bert-base-chinese,baseline,47.00
hanzi_pinyin,5,ChineseBERT-base,baseline,46.80
hanzi_pinyin,6,babylm-chinese-mamba-14M-epoch3,baseline,40.40
hanzi_pinyin,7,babylm-chinese-bert-14m-epoch20,baseline,40.10
hanzi_pinyin,8,babylm-chinese-bert-14m-epoch10,baseline,39.90
hanzi_pinyin,9,babylm-chinese-t5-14m-epoch20,baseline,39.20
hanzi_pinyin,10,xlm-roberta-base,baseline,37.90
hanzi_pinyin,11,babylm-chinese-bert-14M-epoch3,baseline,35.70
hanzi_pinyin,12,roc-bert-base-zh,baseline,35.50
hanzi_pinyin,13,babylm-chinese-pythia-14M-epoch3,baseline,30.10
hanzi_pinyin,14,chinese-bert-wwm-ext,baseline,29.60
hanzi_pinyin,15,babylm-chinese-pythia-14m-epoch20,baseline,28.90
hanzi_pinyin,16,babylm-chinese-t5-14m-epoch10,baseline,28.10
hanzi_pinyin,17,babylm-chinese-t5-14M-epoch3,baseline,28.00
hanzi_pinyin,18,babylm-chinese-mamba-14m-epoch20,baseline,26.80
hanzi_pinyin,19,babylm-chinese-pythia-14M-epoch10,baseline,26.60
hanzi_pinyin,20,babylm-chinese-mamba-14m-epoch10,baseline,21.20
hanzi_pinyin,21,Zh-Pythia-160M-v0.1-checkpoint-3000,baseline,18.50
hanzi_pinyin,22,Zh-Pythia-1.4B-v0.1-checkpoint-3000,baseline,17.10
hanzi_pinyin,23,Zh-Pythia-410M-v0.1-checkpoint-3000,baseline,16.70
hanzi_pinyin,24,Zh-Pythia-70M-v0.1-checkpoint-3000,baseline,15.70
hanzi_pinyin,25,Zh-Pythia-14M-v0.1-checkpoint-3000,baseline,11.50
word_fmri,1,Zh-Pythia-410M-v0.1-checkpoint-3000,baseline,56.10
word_fmri,2,Zh-Pythia-1.4B-v0.1-checkpoint-3000,baseline,56.10
word_fmri,3,Zh-Pythia-70M-v0.1-checkpoint-3000,baseline,56.00
word_fmri,4,Zh-Pythia-160M-v0.1-checkpoint-3000,baseline,56.00
word_fmri,5,bert-base-chinese,baseline,56.00
word_fmri,6,babylm-chinese-bert-14M-epoch3,baseline,55.90
word_fmri,7,babylm-chinese-bert-14m-epoch20,baseline,55.89
word_fmri,8,babylm-chinese-bert-14m-epoch10,baseline,55.82
word_fmri,9,chinese-bert-wwm-ext,baseline,55.80
word_fmri,10,Zh-Pythia-14M-v0.1-checkpoint-3000,baseline,55.70
word_fmri,11,gpu3,candidate,55.70
word_fmri,12,gpu2,candidate,55.70
word_fmri,13,xlm-roberta-base,baseline,55.60
word_fmri,14,roc-bert-base-zh,baseline,55.60
word_fmri,15,ChineseBERT-base,baseline,55.60
word_fmri,16,babylm-chinese-t5-14M-epoch3,baseline,55.50
word_fmri,17,Qwen3-0.6B,baseline,55.00
word_fmri,18,babylm-chinese-t5-14m-epoch10,baseline,54.28
word_fmri,19,babylm-chinese-pythia-14M-epoch3,baseline,53.70
word_fmri,20,babylm-chinese-t5-14m-epoch20,baseline,53.30
word_fmri,21,babylm-chinese-mamba-14M-epoch3,baseline,52.68
